sgRNA,Gene,cont1,cont2,cont3,gemc1,gemc2,gemc3
sgCTRL_215,CTRL,173.5426017,873.5009707,178.4710334,1.74144044,0,570.1361724
ADPRH-sg8,ADPRH,5.658997882,697.3327077,128.7867897,109.7107477,0,1093.141088
BRCA1-sg4,BRCA1,98.08929662,67.53116748,300.7204225,526.7857331,215.2329744,0
LBR-sg1,LBR,79.22597035,0,420.3548515,0,0,1897.413182
MCL1-sg13,MCL1,1912.741284,296.5499094,149.0527312,0,0,0
HNRNPA1-sg13,HNRNPA1,428.1975064,66.06309863,0,74.88193892,239.7531866,0
RNF168-sg7,RNF168,147.1339449,19.08489516,0,49.63105254,0,0
RC3H1-sg5,RC3H1,513.0824746,775.1403572,666.1611099,54.85537386,326.9361636,448.5071223
SUV420H1-sg6,SUV420H1,0,44.04206575,594.2497046,0,681.1170075,0
SMN2-sg3,SMN2,90.54396611,0,3.922440294,0.87072022,0,3.040726253
SMARCC1-sg13,SMARCC1,6251.306327,164.4237121,0,4239.536751,0,0
TET2-sg13,TET2,730.0107268,0,158.8588319,183.7219664,0,881.8106133
MIS12-sg5,MIS12,264.0865678,155.615299,47.72302358,81.84770068,0,0
PARG-sg4,PARG,50.93098094,231.9548796,334.061165,180.2390855,0,0
ARID1A-sg2,ARID1A,364.0621971,57.25468548,51594.47215,2968.28523,0,4547.406111
SUV39H2-sg10,SUV39H2,316.9038814,68.99923634,8001.7782,0,340.5585038,427.2220385
AEBP2-sg10,AEBP2,175.4289343,0,0,104.4864264,0,4.561089379
KAT6B-sg9,KAT6B,718.692731,387.5701786,2018.095531,207.2314124,0,678.0819543
PTEN_3,PTEN,35.84031992,0,0,0,0,0
CDK2AP1-sg3,CDK2AP1,1222.343542,192.3170204,269.9946402,965.628724,2.72446803,191.5657539
SMARCA2-sg1,SMARCA2,829.986356,102.7648201,509.2634982,0,0,0
LBR-sg8,LBR,152.7929428,48.44627233,186.315914,102.744986,0,147.4752233
RBBP5-sg11,RBBP5,0,0,0.653740049,0,0,3.040726253
CHD2-sg2,CHD2,71.68063984,52.8504789,28.76456216,0,0,0
CTSL1-sg5,CTSL1,860.167678,139.4665415,0,1895.557919,659.3212633,214.3712008
KAT6A-sg12,KAT6A,0,0,0,0,482.2308413,0
AURKB-sg12,AURKB,179.2015996,368.4852834,59.49034446,0,0,0
DLEC1_1,DLEC1,162.2246059,0,79.75628598,0,0,0
JMJD6-sg7,JMJD6,1990.080922,500.6114807,330.1387248,195.0413293,5.44893606,148.9955864
TRRAP-sg2,TRRAP,182.9742648,58.72275433,17.65098132,0,0,0
