GeneID,LORD_MCF10ATP53/RB1mut_Olaparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRn,LORD_MCF10A TP53mut_Talazoparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRi,LORD_MCF10ATP53mut_Talazoparib_CRISPRi,Olivieri_RPE1_Olaparib_CRISRPn,Zimmerman_HELA_Olaparib_CRISPRn,DeWeirdt_A375_Talazoparib_CRISPRn
ACTB,0.5386953,-0.0595238,-0.4924697,0.2810388,-0.194253,1.180595,,-1.123724
ACTBL2,0.2715638,-0.9630993,-0.2082118,1.4972761,1.7637617,0.9096269,0.7802963,-0.2588021
ACTC1,-1.1781675,0.0462848,0.6958294,-0.2825068,-0.3245349,-0.4953633,-0.4547598,2.4851308
ACTG1,-2.5026812,-1.271021,-0.6115551,-0.4510864,-2.6687638,1.7090336,,1.0464587
ACTG2,0.4361177,0.4296052,-0.0500487,0.604132,-0.71754,-1.3216331,0.3775553,0.817533
ACTL10,0.6137596,0.2518876,0.3317548,-0.3440462,-0.0645465,-0.023749,0.1694598,-0.1689269
ACTL6A,-4.1457116,-2.137169,-1.6189983,-4.2745197,1.4422198,,1.6231324,-0.2251723
ACTL6B,1.0203577,0.4754167,0.1439255,-0.0898845,-0.0113255,0.2269473,-1.1815341,-1.1556584
ACTL7A,1.350679,0.0487609,-0.194253,1.3561041,-0.4128733,0.1260358,0.8447421,0.2851566
ACTL7B,0.188111,-0.6435217,0.3153499,-0.0064171,1.6331144,-0.4114412,0.5503643,-0.7818696
ACTL8,0.1568655,0.2264399,-0.212232,-0.0621222,0.0573259,0.3722457,0.6367164,0.8970173
ACTL9,0.0413393,-0.0418018,-0.1980487,1.2410279,-0.6237073,4.719523,-2.6223158,0.7339655
ACTN1,1.0219278,0.8244646,0.9070815,-0.0924624,0.444484,-0.4953633,0.0354574,0.3000325
ACTN2,0.4871604,-0.5016771,-0.1985168,0.7616483,-0.7845697,-0.0504651,0.1893371,-0.8972264
ACTN3,,,,0.3073049,1.320715,,1.7017841,0.4627704
ACTN4,0.3104537,-1.0908362,0.0446079,-0.1489039,-0.3544076,-0.1577622,1.2261354,-1.945748
ACTR10,-3.38171,-2.5110117,-5.6855725,1.0273369,0.2938042,-0.2143948,,0.0051899
ACTR1A,-0.1930146,-2.8954668,-1.9533989,1.043949,1.9545158,1.2023488,0.3065482,-3.4744301
ACTR1B,1.140547,1.0811779,0.3183159,-0.4196794,0.3428785,0.4073362,-0.2751692,0.5538605
ACTR2,-1.2137298,-1.4135298,-0.3415206,-1.7893398,-2.7379384,,,-2.5228939
ACTR3,-0.8953225,-1.4683346,-1.5019395,-0.1500265,-2.2032999,-0.7704781,,-1.6802361
ACTR3B,0.6551456,2.9381362,-0.7087869,0.1452797,-1.2588684,0.2179551,1.8722333,0.2293959
ACTR3C,-0.2321351,-0.423035,0.1988949,-0.310273,0.7894092,,,0.0260068
ACTR5,-0.918663,-0.5789861,-2.1445417,-2.0761109,-3.3133011,0.6257754,1.8464481,-1.1492051
ACTR6,-0.4920109,-2.6972067,1.3311008,-1.3019669,0.530729,-0.0148852,-0.467592,0.1631663
ACTR8,-0.5035716,1.6603642,0.671926,-0.6630779,-1.9351766,-0.9931297,-2.693975,-0.4369701
ACTRT1,-0.9937762,-0.0641162,0.2341875,-0.3477047,0.2172937,0.6074833,0.8296678,-0.2323815
ACTRT2,-0.2589349,0.4265181,0.0551188,0.1380234,0.6271286,0.70664,-0.864242,-0.4663984
