GeneID,CRISPRn Viability Z score (olap and talaz screen),CRISPRn Drug Effect Z score (olap screen),CRISPRn Olaparib sgRNA Drug Effect Zcount,CRISPRn Olaparib Gene Rank,CRISPRn Drug Effect Z score (talaz screen),CRISPRn Talazoparib sgRNA Drug Effect Zcount,CRISPRn Talazoparib Gene Rank,CRISPRi Viability Z score (olap screen),CRISPRi Drug Effect Z score (olap screen),CRISPRi Olaparib sgRNA Drug Effect Zcount,CRISPRi Olaparib Gene Rank,CRISPRi Viability Z score (talaz screen),CRISPRi Drug Effect Z score (talaz screen),CRISPRi Talazoparib sgRNA Drug Effect Zcount,CRISPRi Talazoparib Gene Rank
BAZ2B,-1.32160701957155,1.80611653561931,0,8268.0288553861,1.38554237024146,0,9340.48489715848,-3.30684634117454,-1.98413473707301,1,3663.135906736,-3.44600603828298,-0.220558052788062,0,9586.10821995129
PPP1R16A,1.42289490538617,0.708820627758021,0,10803.4804891191,-0.937637239768465,0,3408.39429853442,0.464289865808714,-1.93674365305082,0,763.833331241128,0.374394170448438,-0.220553344135811,0,7957.28014739461
SLC35G6,0.117190616687563,-0.335122128031051,0,7388.28935537376,0.132991127165338,0,8743.89945131022,0.492351733651093,-0.0918872938839718,1,6262.03177488731,0.229630319916657,-0.220453170862296,0,9145.3710835505
CAPN9,1.19872629108207,0.471263806297266,0,12054.3961402831,0.713309909258042,0,13197.7592247106,2.50360776234145,-1.22914317495553,0,1391.46262755139,0.789124486119191,-0.220186333776666,0,5152.93676464397
DDAH2,1.18522147439008,1.6483538427889,0,14676.7415599902,2.4764814431907,0,16872.2677636681,-1.33721985910907,0.762589410215382,0,12838.3689487447,-0.574941900895293,-0.220133761380719,0,3887.47299754682
TBX21,-0.624347260605675,1.17849296686603,0,11986.296551721,2.05026182135004,0,16405.0694089375,-0.335473686990642,-0.0467718053483829,0,9670.24571738963,-1.33854648042903,-0.220088767333925,1,8361.91102212499
LDB2,0.561224239376743,0.0367562894975996,0,9330.71270535736,0.706190326765994,0,11770.6854642924,1.81445809905512,-0.47920621329424,0,6569.64147234197,1.75520386939291,-0.219872600824171,0,7171.55784372027
WDR82,-8.93776412263721,-2.91107469422632,2,1568.93336072531,-1.27320723651381,1,6059.53461772688,-10.7575689506908,0.0697303720808422,0,5670.30448184322,-12.6268855794024,-0.219848540845941,3,1941.65372081561
FST,0.795301791211953,0.314975251521908,0,7787.1959924285,-0.847511657452433,1,3844.00525235489,1.69774136755475,-0.341179773550457,0,7441.88080557192,1.23331664519899,-0.219550300736288,0,7349.58022326862
PTGFR,0.989193458447748,1.03820642536188,0,14345.0945795715,1.119180288359,0,13382.8775221359,-1.75623873331704,-1.2862800141944,0,5363.13921641575,-0.701699454113042,-0.219446781182661,1,9943.80865494857
HIST1H2BM,-0.906128011122804,-5.08923915241214,1,670.486393674558,-7.9915463951397,3,100.539088612411,-1.41166410771681,0.251150885466502,1,12005.0832914906,-2.06134101803532,-0.219145546640429,0,6967.40187755554
ANO7,0.723504701396389,-0.507280691607492,0,6094.154509479,1.1745065599779,0,13758.0216210137,-1.85491849867894,-1.81085804593283,1,1606.38944209555,-1.47636211002096,-0.219107147563351,1,8735.70355481238
