Supplementary Table 6. Normalized screen data and DeSEQ2 output. ,,,,,,,,,,,,,,
Gene,baseMean1,Log2_FC1,pval1,baseMean2,Log2_FC2,pval2,baseMean3,Log2_FC3,pval3,chi,combined_p,combined_q,Meidan_Log2_FC,Combined_mean_Log2_FC
FGF18,283.3614696,1.368371064,0.086520369,23.23100767,-3.733307532,3.08e-05,647.0703694,1.730521669,0.030081727,47.1,1.79e-08,0.000294091,1.36837106382466,0.994086614085475
LGALS12,39.66013887,-2.383388514,0.013181352,109.6045236,2.661214598,0.010624803,574.8891271,3.260762748,0.000596296,47,1.87e-08,0.000307876,2.66121459771776,2.42422415142409
RHPN1,47.91493972,-0.245912957,0.783156752,340.9039687,3.016923236,1.62e-05,146.8500018,2.329233791,0.006702746,47,1.87e-08,0.000307876,2.3292337905706,2.21858081100388
EEA1,8.554300334,-3.157779254,0.001958852,61.77711581,2.325872937,0.017373568,956.423176,2.223890916,0.002496915,47,1.87e-08,0.000307876,2.22389091633515,1.70741543119164
SV2C,97.51388977,0.581132189,0.496252436,26.36069504,-4.453241171,3.57e-06,86.39414956,1.888930543,0.049507182,46.9,1.96e-08,0.000322285,0.581132188832771,0.806056905356867
TKT,12.66993016,-3.91032322,0.000106138,17.9542173,1.54376459,0.126331437,14.0792035,-2.674327613,0.006402772,46.9,1.96e-08,0.000322285,-2.67432761345245,0.0652079787211895
PAQR8,23.69060194,-3.873050587,7.86e-05,37.560447,-0.732609839,0.412515302,141.7081462,2.401390957,0.002851805,46.7,2.15e-08,0.000353235,-0.732609838767215,0.988699465584082
PROZ,360.8759316,2.736870797,0.004653978,167.8851637,1.397876996,0.094937948,10.18057256,-4.035419248,0.000215442,46.6,2.25e-08,0.000369802,1.39787699572243,1.64190790719828
FUT2,94.28710471,0.999951945,0.169999048,36.32565742,-4.454761974,1.28e-06,14.60927463,-0.805740174,0.44556982,46.6,2.25e-08,0.000369802,-0.805740173631568,-0.196715754541264
HYAL4,384.2959817,2.198240178,0.012781333,32.71901836,-3.90101315,1.5e-05,79.14713997,0.55506028,0.523825262,46.5,2.35e-08,0.000387119,0.555060279740437,1.02983234167075
LOC100129520,144.8097645,2.333124675,0.006943126,22.67581458,-3.526813153,4.1e-05,126.3733001,0.789431648,0.370020623,46.4,2.46e-08,0.000405269,0.789431648033835,1.19200675302458
INPP5B,1359.020177,3.611259253,2.78e-05,39.05591185,-1.357112453,0.131917229,180.7107817,1.825140056,0.029150332,46.3,2.58e-08,0.000424266,1.82514005585592,2.42890282915891
PCDHB10,99.33165077,0.573322365,0.50827656,113.99605,1.801871112,1,24.83314321,-5.631959428,2.2e-07,46.2,2.7e-08,0.00044415,0.573322365183152,0.735474015545561
KLK2,129.6491101,-0.611524548,0.495197992,32.89435877,-2.514799595,0.007449786,16.08322936,-4.206735532,3e-05,46.2,2.7e-08,0.00044415,-2.51479959514688,-1.76344294658654
GALR1,236.1922966,2.35945091,0.018983597,64.98570244,0.655968596,0.490824197,30.73338847,-3.847419742,1.24e-05,46.1,2.83e-08,0.000464933,0.655968596257242,1.17566208378447
UCHL5,85.63472352,0.591456613,0.501312724,38.66033992,-4.548454682,2.9e-07,76.96576565,-0.204101005,0.810249574,46,2.96e-08,0.000486715,-0.204101005422411,-0.311398129542676
QPCT,222.3779209,1.479652238,0.036672723,19.85439486,-4.381985828,1.19e-05,26.84108825,-1.057524001,0.269260783,46,2.96e-08,0.000486715,-1.05752400052807,0.145017509545984
SLC27A5,46.50991757,-4.434726672,1.48e-06,146.7150433,0.736032468,0.376949074,12.47607082,-1.178920081,0.21256114,46,2.96e-08,0.000486715,-1.17892008089216,-0.478272051016885
NUP160,125.4928505,1.141108856,0.184713171,27.17183662,-4.104439645,6.83e-06,60.5461336,1.640267309,0.101410634,45.8,3.24e-08,0.00053334,1.1411088561117,0.842878548813593
IL17RD,520.9960687,2.8470917,0.003930679,134.1860379,-0.303616737,0.748492398,22.78899216,-4.323823952,4.32e-05,45.8,3.24e-08,0.00053334,-0.30361673678687,1.42503614933116
PTPLAD2,39.44696079,0.224080503,0.821340477,37.02744078,-4.252624642,4.59e-06,20.20313448,1.880217546,0.034506639,45.7,3.4e-08,0.000558278,0.224080503114346,0.708348749662867
ASAP3,301.4802789,1.683329138,0.025210853,117.7346835,2.814539674,0.003676514,36.20781265,-2.783526131,0.001462717,45.6,3.56e-08,0.000584412,1.68332913780121,1.79242033521706
C12orf77,19.72413519,-2.548847707,0.001929483,329.0545955,2.616702574,0.001397952,43.53021452,1.592222289,0.050829289,45.6,3.56e-08,0.000584412,1.59222228927245,1.63528879344983
MTIF2,35.42259339,-3.010657013,0.000172259,13.8447126,-3.386263435,0.001058129,130.8958644,0.247683963,0.741801051,45.6,3.56e-08,0.000584412,-3.01065701279108,-1.09232153850666
NIM1,75.11867907,-0.295294767,0.758194035,166.1809724,3.433678165,0.000506883,103.3002786,3.372622859,0.000365201,45.5,3.72e-08,0.000611689,3.37262285932051,2.87302069730943
PTH,830.4447399,3.405907794,0.000101361,545.918709,2.991703229,0.001391871,48.47119951,1.947239687,1,45.5,3.72e-08,0.000611689,2.99170322886699,2.90109945682777
EGR4,113.8294903,0.800792986,0.411673666,64.24500799,-4.178416571,4.87e-07,38.72223111,-0.354751402,0.702058387,45.5,3.72e-08,0.000611689,-0.354751402121214,-0.217987223908012
OR12D2,26.23061389,-1.879895336,0.035232818,19.13167578,-3.864164916,4.79e-05,326.3451811,1.431323952,0.083192595,45.5,3.72e-08,0.000611689,-1.87989533581513,0.0178340130618944
